peptide_id	TIGRFAM_id	definition	Evalues
Eucgr.E01982.2.p	TIGR00293	TIGR00293[TIGR00293: prefoldin, alpha subunit]	TIGR00293[5.5e-07]
Eucgr.E01982.3.p	TIGR00293	TIGR00293[TIGR00293: prefoldin, alpha subunit]	TIGR00293[3.5e-07]
Eucgr.E02009.1.p	TIGR01242,TIGR01241,TIGR01243,TIGR03689	TIGR01242[26Sp45: 26S proteasome subunit P45 family]; TIGR01241[FtsH_fam: ATP-dependent metallopeptidase HflB]; TIGR01243[CDC48: AAA family ATPase, CDC48 subfamily]; TIGR03689[pup_AAA: proteasome ATPase]	TIGR01242[2.2e-71]; TIGR01241[4.2e-67]; TIGR01243[1.8e-94]; TIGR03689[3.9e-51]
Eucgr.E02205.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[2.1e-37]
Eucgr.E02253.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[1.7e-59]
Eucgr.E02289.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[1.7e-05]
Eucgr.E02325.1.p	TIGR00861	TIGR00861[MIP: MIP family channel proteins]	TIGR00861[1.4e-61]
Eucgr.E02443.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[3.7e-06]
Eucgr.E02448.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[2.2e-11]; TIGR03724[1.1e-05]
Eucgr.E02448.2.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[1.4e-11]; TIGR03724[5.9e-06]
Eucgr.E02473.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[4.5e-12]; TIGR03724[5.4e-08]
Eucgr.E02609.1.p	TIGR00515	TIGR00515[accD: acetyl-CoA carboxylase, carboxyl transferase, beta subunit]	TIGR00515[1.1e-45]
Eucgr.E02712.1.p	TIGR02058	TIGR02058[lin0512_fam: conserved hypothetical protein]	TIGR02058[1.5e-52]
Eucgr.E02742.1.p	TIGR00376,TIGR01447	TIGR00376[TIGR00376: putative DNA helicase]; TIGR01447[recD: exodeoxyribonuclease V, alpha subunit]	TIGR00376[1.3e-70]; TIGR01447[1.8e-07]
Eucgr.E02742.2.p	TIGR00376,TIGR01447	TIGR00376[TIGR00376: putative DNA helicase]; TIGR01447[recD: exodeoxyribonuclease V, alpha subunit]	TIGR00376[1.3e-65]; TIGR01447[7.2e-07]
Eucgr.E02754.1.p	TIGR01557	TIGR01557[myb_SHAQKYF: myb-like DNA-binding domain, SHAQKYF class]	TIGR01557[1.9e-20]
Eucgr.E02785.1.p	TIGR02823,TIGR03466	TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR03466[HpnA: hopanoid-associated sugar epimerase]	TIGR02823[3.3e-05]; TIGR03466[8.9e-11]
Eucgr.E02785.2.p	TIGR02823,TIGR03466	TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR03466[HpnA: hopanoid-associated sugar epimerase]	TIGR02823[3.3e-05]; TIGR03466[8.9e-11]
Eucgr.E02785.3.p	TIGR02823,TIGR03466	TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR03466[HpnA: hopanoid-associated sugar epimerase]	TIGR02823[2.5e-05]; TIGR03466[7.2e-11]
Eucgr.E02978.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[3.2e-06]
Eucgr.E02992.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[9.3e-14]
Eucgr.E03005.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.6e-15]
Eucgr.E03019.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[8.6e-07]
Eucgr.E03046.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[6.4e-17]
Eucgr.E03056.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[2.7e-14]
Eucgr.E03122.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[3.2e-11]
Eucgr.E03146.1.p	TIGR02716	TIGR02716[C20_methyl_CrtF: C-20 methyltransferase BchU]	TIGR02716[1.6e-05]
Eucgr.E03212.1.p	TIGR02716	TIGR02716[C20_methyl_CrtF: C-20 methyltransferase BchU]	TIGR02716[1.1e-10]
Eucgr.E03231.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[1.2e-19]
Eucgr.E03235.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[1.9e-16]
Eucgr.E03300.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1e-08]
Eucgr.E03310.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[2.6e-39]
Eucgr.E03348.1.p	TIGR00425,TIGR00431,TIGR03684,TIGR00451	TIGR00425[CBF5: putative rRNA pseudouridine synthase]; TIGR00431[TruB: tRNA pseudouridine(55) synthase]; TIGR03684[arCOG00985: arCOG04150 universal archaeal PUA-domain protein]; TIGR00451[unchar_dom_2: uncharacterized domain 2]	TIGR00425[1.1e-151]; TIGR00431[6.9e-31]; TIGR03684[6.9e-10]; TIGR00451[2.6e-09]
Eucgr.E03363.1.p	TIGR03547	TIGR03547[muta_rot_YjhT: mutatrotase, YjhT family]	TIGR03547[3.6e-07]
Eucgr.E03405.1.p	TIGR03169,TIGR04369,TIGR03385	TIGR03169[Nterm_to_SelD: pyridine nucleotide-disulfide oxidoreductase family protein]; TIGR04369[fusion_not_SelD: oxidoreductase/SelD-related fusion protein]; TIGR03385[CoA_CoA_reduc: CoA-disulfide reductase]	TIGR03169[5.6e-14]; TIGR04369[2.2e-06]; TIGR03385[1.1e-08]
Eucgr.E03418.1.p	TIGR03364,TIGR02032,TIGR01989,TIGR03219,TIGR01790,TIGR01984,TIGR02023,TIGR01988,TIGR03467,TIGR03197,TIGR02352	TIGR03364[HpnW_proposed: FAD dependent oxidoreductase TIGR03364]; TIGR02032[GG-red-SF: geranylgeranyl reductase family]; TIGR01989[COQ6: ubiquinone biosynthesis monooxygenase COQ6]; TIGR03219[salicylate_mono: salicylate 1-monooxygenase]; TIGR01790[carotene-cycl: lycopene cyclase family protein]; TIGR01984[UbiH: 2-polyprenyl-6-methoxyphenol 4-hydroxylase]; TIGR02023[BchP-ChlP: geranylgeranyl reductase]; TIGR01988[Ubi-OHases: ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family]; TIGR03467[HpnE: squalene-associated FAD-dependent desaturase]; TIGR03197[MnmC_Cterm: tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain]; TIGR02352[thiamin_ThiO: glycine oxidase ThiO]	TIGR03364[9.1e-07]; TIGR02032[8.1e-13]; TIGR01989[1.5e-09]; TIGR03219[2e-18]; TIGR01790[2.4e-05]; TIGR01984[2.9e-15]; TIGR02023[4.3e-05]; TIGR01988[1.9e-21]; TIGR03467[7.8e-06]; TIGR03197[9e-06]; TIGR02352[3.1e-05]
Eucgr.E03592.1.p	TIGR02169,TIGR02168	TIGR02169[SMC_prok_A: chromosome segregation protein SMC]; TIGR02168[SMC_prok_B: chromosome segregation protein SMC]	TIGR02169[4.5e-05]; TIGR02168[1.9e-07]
Eucgr.E03599.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[4.1e-32]
Eucgr.E03611.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[2.3e-45]
Eucgr.E03621.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.2e-12]
Eucgr.E03639.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.2e-11]
Eucgr.E03660.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.4e-07]
Eucgr.E03669.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.2e-13]
Eucgr.E03684.1.p	TIGR04458	TIGR04458[CYP450_TxtE: 4-nitrotryptophan synthase]	TIGR04458[5.5e-06]
Eucgr.E03684.2.p	TIGR04458	TIGR04458[CYP450_TxtE: 4-nitrotryptophan synthase]	TIGR04458[3.2e-05]
Eucgr.E03739.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.9e-17]
Eucgr.E03744.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[3.1e-16]
Eucgr.E03744.2.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[3.1e-16]
Eucgr.E03744.3.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[2.8e-16]
Eucgr.E03793.1.p	TIGR02092,TIGR02091	TIGR02092[glgD: glucose-1-phosphate adenylyltransferase, GlgD subunit]; TIGR02091[glgC: glucose-1-phosphate adenylyltransferase]	TIGR02092[3.1e-10]; TIGR02091[1.5e-77]
Eucgr.E03798.1.p	TIGR03574	TIGR03574[selen_PSTK: L-seryl-tRNA(Sec) kinase]	TIGR03574[5.1e-07]
Eucgr.E03807.1.p	TIGR03385,TIGR02374,TIGR01424,TIGR02053,TIGR01421,TIGR03169,TIGR01423,TIGR01350,TIGR04369	TIGR03385[CoA_CoA_reduc: CoA-disulfide reductase]; TIGR02374[nitri_red_nirB: nitrite reductase [NAD(P)H], large subunit]; TIGR01424[gluta_reduc_2: glutathione-disulfide reductase]; TIGR02053[MerA: mercury(II) reductase]; TIGR01421[gluta_reduc_1: glutathione-disulfide reductase]; TIGR03169[Nterm_to_SelD: pyridine nucleotide-disulfide oxidoreductase family protein]; TIGR01423[trypano_reduc: trypanothione-disulfide reductase]; TIGR01350[lipoamide_DH: dihydrolipoyl dehydrogenase]; TIGR04369[fusion_not_SelD: oxidoreductase/SelD-related fusion protein]	TIGR03385[2e-24]; TIGR02374[8.5e-10]; TIGR01424[6.6e-07]; TIGR02053[1.4e-09]; TIGR01421[1.2e-05]; TIGR03169[6.2e-24]; TIGR01423[2.3e-05]; TIGR01350[3e-15]; TIGR04369[1.1e-08]
Eucgr.E03807.2.p	TIGR03385,TIGR02374,TIGR01424,TIGR02053,TIGR01421,TIGR03169,TIGR01423,TIGR01350,TIGR04369	TIGR03385[CoA_CoA_reduc: CoA-disulfide reductase]; TIGR02374[nitri_red_nirB: nitrite reductase [NAD(P)H], large subunit]; TIGR01424[gluta_reduc_2: glutathione-disulfide reductase]; TIGR02053[MerA: mercury(II) reductase]; TIGR01421[gluta_reduc_1: glutathione-disulfide reductase]; TIGR03169[Nterm_to_SelD: pyridine nucleotide-disulfide oxidoreductase family protein]; TIGR01423[trypano_reduc: trypanothione-disulfide reductase]; TIGR01350[lipoamide_DH: dihydrolipoyl dehydrogenase]; TIGR04369[fusion_not_SelD: oxidoreductase/SelD-related fusion protein]	TIGR03385[1.8e-24]; TIGR02374[7.9e-10]; TIGR01424[5.3e-07]; TIGR02053[1.3e-09]; TIGR01421[1.1e-05]; TIGR03169[5.8e-24]; TIGR01423[2.1e-05]; TIGR01350[3.3e-15]; TIGR04369[1e-08]
Eucgr.E03894.1.p	TIGR01116,TIGR01517,TIGR01652,TIGR01657,TIGR01511,TIGR01497,TIGR01106,TIGR01512,TIGR01523,TIGR01525,TIGR01647,TIGR01522,TIGR01524,TIGR01494	TIGR01116[ATPase-IIA1_Ca: calcium-translocating P-type ATPase, SERCA-type]; TIGR01517[ATPase-IIB_Ca: calcium-translocating P-type ATPase, PMCA-type]; TIGR01652[ATPase-Plipid: phospholipid-translocating P-type ATPase, flippase]; TIGR01657[P-ATPase-V: P-type ATPase of unknown pump specificity (type V)]; TIGR01511[ATPase-IB1_Cu: copper-translocating P-type ATPase]; TIGR01497[kdpB: K+-transporting ATPase, B subunit]; TIGR01106[ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit]; TIGR01512[ATPase-IB2_Cd: cadmium-translocating P-type ATPase]; TIGR01523[ATPase-IID_K-Na: potassium/sodium efflux P-type ATPase, fungal-type]; TIGR01525[ATPase-IB_hvy: heavy metal translocating P-type ATPase]; TIGR01647[ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase]; TIGR01522[ATPase-IIA2_Ca: calcium-transporting P-type ATPase, PMR1-type]; TIGR01524[ATPase-IIIB_Mg: magnesium-translocating P-type ATPase]; TIGR01494[ATPase_P-type: HAD ATPase, P-type, family IC]	TIGR01116[3.6e-35]; TIGR01517[3.4e-133]; TIGR01652[1.4e-07]; TIGR01657[8.4e-13]; TIGR01511[9.4e-18]; TIGR01497[5e-11]; TIGR01106[1.4e-28]; TIGR01512[6.1e-17]; TIGR01523[1.7e-28]; TIGR01525[3.6e-27]; TIGR01647[7.9e-37]; TIGR01522[4.9e-52]; TIGR01524[3.8e-19]; TIGR01494[1.5e-28]
Eucgr.E03909.1.p	TIGR01372,TIGR00528	TIGR01372[soxA: sarcosine oxidase, alpha subunit family]; TIGR00528[gcvT: glycine cleavage system T protein]	TIGR01372[6.3e-27]; TIGR00528[3.2e-74]
Eucgr.E03989.1.p	TIGR01640	TIGR01640[F_box_assoc_1: F-box protein interaction domain]	TIGR01640[3.6e-11]
Eucgr.E03996.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.5e-09]
Eucgr.E04000.1.p	TIGR00044	TIGR00044[TIGR00044: pyridoxal phosphate enzyme, YggS family]	TIGR00044[7e-63]
Eucgr.E04023.1.p	TIGR00816	TIGR00816[tdt: C4-dicarboxylate transporter/malic acid transport protein]	TIGR00816[1.6e-14]
Eucgr.E04023.2.p	TIGR00816	TIGR00816[tdt: C4-dicarboxylate transporter/malic acid transport protein]	TIGR00816[1.1e-08]
Eucgr.E04125.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[2.9e-06]
Eucgr.E04152.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[7e-13]
Eucgr.E04160.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.2e-08]
Eucgr.E04199.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[2.7e-05]
Eucgr.E04240.1.p	TIGR00840,TIGR00831	TIGR00840[b_cpa1: sodium/hydrogen exchanger 3]; TIGR00831[a_cpa1: Na+/H+ antiporter]	TIGR00840[2.7e-29]; TIGR00831[2.6e-05]
Eucgr.E04250.1.p	TIGR00180,TIGR04285	TIGR00180[parB_part: ParB/RepB/Spo0J family partition protein]; TIGR04285[nucleoid_noc: nucleoid occlusion protein]	TIGR00180[1.4e-06]; TIGR04285[2.7e-06]
Eucgr.E04352.1.p	TIGR01640	TIGR01640[F_box_assoc_1: F-box protein interaction domain]	TIGR01640[2.5e-23]
Eucgr.E04363.1.p	TIGR01652,TIGR01517,TIGR01116,TIGR01657,TIGR01511,TIGR01106,TIGR01512,TIGR01525,TIGR01647,TIGR01522,TIGR01524,TIGR01494	TIGR01652[ATPase-Plipid: phospholipid-translocating P-type ATPase, flippase]; TIGR01517[ATPase-IIB_Ca: calcium-translocating P-type ATPase, PMCA-type]; TIGR01116[ATPase-IIA1_Ca: calcium-translocating P-type ATPase, SERCA-type]; TIGR01657[P-ATPase-V: P-type ATPase of unknown pump specificity (type V)]; TIGR01511[ATPase-IB1_Cu: copper-translocating P-type ATPase]; TIGR01106[ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit]; TIGR01512[ATPase-IB2_Cd: cadmium-translocating P-type ATPase]; TIGR01525[ATPase-IB_hvy: heavy metal translocating P-type ATPase]; TIGR01647[ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase]; TIGR01522[ATPase-IIA2_Ca: calcium-transporting P-type ATPase, PMR1-type]; TIGR01524[ATPase-IIIB_Mg: magnesium-translocating P-type ATPase]; TIGR01494[ATPase_P-type: HAD ATPase, P-type, family IC]	TIGR01652[1.2e-226]; TIGR01517[1.9e-10]; TIGR01116[1.6e-14]; TIGR01657[4.2e-26]; TIGR01511[1.7e-10]; TIGR01106[1e-05]; TIGR01512[4.8e-09]; TIGR01525[1.3e-11]; TIGR01647[5.5e-06]; TIGR01522[7.6e-11]; TIGR01524[7e-07]; TIGR01494[8.4e-51]
Eucgr.E04372.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[7.7e-12]; TIGR03724[2.9e-05]
Eucgr.L00405.1.p	TIGR02319,TIGR02317	TIGR02319[CPEP_Pphonmut: carboxyvinyl-carboxyphosphonate phosphorylmutase]; TIGR02317[prpB: methylisocitrate lyase]	TIGR02319[9.8e-06]; TIGR02317[1.4e-08]
Eucgr.L00407.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[4.2e-16]
Eucgr.L00412.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.4e-15]
Eucgr.L00425.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1e-10]
Eucgr.L00427.1.p	TIGR00071	TIGR00071[hisT_truA: tRNA pseudouridine(38-40) synthase]	TIGR00071[9e-38]
Eucgr.L00599.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[5.1e-16]
Eucgr.L00600.1.p	TIGR02091,TIGR02623,TIGR01207,TIGR01099,TIGR03992,TIGR02092,TIGR00454,TIGR01208	TIGR02091[glgC: glucose-1-phosphate adenylyltransferase]; TIGR02623[G1P_cyt_trans: glucose-1-phosphate cytidylyltransferase]; TIGR01207[rmlA: glucose-1-phosphate thymidylyltransferase]; TIGR01099[galU: UTP--glucose-1-phosphate uridylyltransferase]; TIGR03992[Arch_glmU: UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase]; TIGR02092[glgD: glucose-1-phosphate adenylyltransferase, GlgD subunit]; TIGR00454[TIGR00454: TIGR00454 family protein]; TIGR01208[rmlA_long: glucose-1-phosphate thymidylyltransferase]	TIGR02091[9.8e-136]; TIGR02623[1.5e-06]; TIGR01207[1.5e-09]; TIGR01099[4.9e-06]; TIGR03992[1.3e-18]; TIGR02092[1.1e-37]; TIGR00454[2.5e-05]; TIGR01208[1.2e-16]
Eucgr.L00618.1.p	TIGR03388,TIGR02376,TIGR03390,TIGR01480,TIGR03389	TIGR03388[ascorbase: L-ascorbate oxidase]; TIGR02376[Cu_nitrite_red: nitrite reductase, copper-containing]; TIGR03390[ascorbOXfungal: L-ascorbate oxidase]; TIGR01480[copper_res_A: copper-resistance protein, CopA family]; TIGR03389[laccase: laccase]	TIGR03388[1.6e-90]; TIGR02376[1.9e-08]; TIGR03390[1.5e-58]; TIGR01480[1.8e-34]; TIGR03389[1.3e-194]
Eucgr.L00621.1.p	TIGR03388,TIGR03390,TIGR01480,TIGR03389	TIGR03388[ascorbase: L-ascorbate oxidase]; TIGR03390[ascorbOXfungal: L-ascorbate oxidase]; TIGR01480[copper_res_A: copper-resistance protein, CopA family]; TIGR03389[laccase: laccase]	TIGR03388[6.4e-69]; TIGR03390[6.7e-39]; TIGR01480[2.1e-18]; TIGR03389[4.8e-167]
Eucgr.L00623.1.p	TIGR03388,TIGR02376,TIGR03390,TIGR01480,TIGR03389	TIGR03388[ascorbase: L-ascorbate oxidase]; TIGR02376[Cu_nitrite_red: nitrite reductase, copper-containing]; TIGR03390[ascorbOXfungal: L-ascorbate oxidase]; TIGR01480[copper_res_A: copper-resistance protein, CopA family]; TIGR03389[laccase: laccase]	TIGR03388[3.3e-87]; TIGR02376[1.5e-09]; TIGR03390[6.9e-59]; TIGR01480[5.2e-33]; TIGR03389[3.2e-200]
Eucgr.L00874.1.p	TIGR04074	TIGR04074[bacter_Hen1: 3' terminal RNA ribose 2'-O-methyltransferase Hen1]	TIGR04074[4.2e-16]
Eucgr.L00875.1.p	TIGR02552	TIGR02552[LcrH_SycD: type III secretion low calcium response chaperone LcrH/SycD]	TIGR02552[5.2e-06]
Eucgr.L00991.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[7.2e-17]
Eucgr.L00994.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[5.3e-11]
Eucgr.L01102.1.p	TIGR01293	TIGR01293[Kv_beta: voltage-dependent potassium channel beta subunit]	TIGR01293[1.3e-30]
Eucgr.L01103.1.p	TIGR01293	TIGR01293[Kv_beta: voltage-dependent potassium channel beta subunit]	TIGR01293[3.6e-26]
Eucgr.L01104.1.p	TIGR01293	TIGR01293[Kv_beta: voltage-dependent potassium channel beta subunit]	TIGR01293[5.8e-17]
Eucgr.L01217.1.p	TIGR03098,TIGR02275,TIGR02188,TIGR02262,TIGR02316,TIGR01217,TIGR03208	TIGR03098[ligase_PEP_1: acyl-CoA ligase (AMP-forming), exosortase A-associated]; TIGR02275[DHB_AMP_lig: (2,3-dihydroxybenzoyl)adenylate synthase]; TIGR02188[Ac_CoA_lig_AcsA: acetate--CoA ligase]; TIGR02262[benz_CoA_lig: benzoate-CoA ligase family]; TIGR02316[propion_prpE: propionate--CoA ligase]; TIGR01217[ac_ac_CoA_syn: acetoacetate-CoA ligase]; TIGR03208[cyc_hxne_CoA_lg: cyclohexanecarboxylate-CoA ligase]	TIGR03098[2.3e-08]; TIGR02275[5.9e-10]; TIGR02188[1.1e-21]; TIGR02262[2.4e-14]; TIGR02316[2.7e-09]; TIGR01217[8.7e-16]; TIGR03208[9.1e-07]
Eucgr.L01219.1.p	TIGR01628	TIGR01628[PABP-1234: polyadenylate binding protein, human types 1, 2, 3, 4 family]	TIGR01628[4.3e-05]
Eucgr.L01220.1.p	TIGR01733,TIGR03098,TIGR01923,TIGR02275,TIGR02188,TIGR02262,TIGR02316,TIGR01217,TIGR03208	TIGR01733[AA-adenyl-dom: amino acid adenylation domain]; TIGR03098[ligase_PEP_1: acyl-CoA ligase (AMP-forming), exosortase A-associated]; TIGR01923[menE: O-succinylbenzoate-CoA ligase]; TIGR02275[DHB_AMP_lig: (2,3-dihydroxybenzoyl)adenylate synthase]; TIGR02188[Ac_CoA_lig_AcsA: acetate--CoA ligase]; TIGR02262[benz_CoA_lig: benzoate-CoA ligase family]; TIGR02316[propion_prpE: propionate--CoA ligase]; TIGR01217[ac_ac_CoA_syn: acetoacetate-CoA ligase]; TIGR03208[cyc_hxne_CoA_lg: cyclohexanecarboxylate-CoA ligase]	TIGR01733[6.4e-19]; TIGR03098[7.5e-19]; TIGR01923[3.2e-10]; TIGR02275[1e-13]; TIGR02188[3.3e-55]; TIGR02262[3.8e-21]; TIGR02316[1.3e-31]; TIGR01217[3.4e-48]; TIGR03208[1.7e-13]
Eucgr.L01309.1.p	TIGR03451,TIGR03989,TIGR00692,TIGR02824,TIGR02822,TIGR03366,TIGR02817,TIGR03201,TIGR02819,TIGR02823,TIGR01751,TIGR02818,TIGR01202	TIGR03451[mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase]; TIGR03989[Rxyl_3153: NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family]; TIGR00692[tdh: L-threonine 3-dehydrogenase]; TIGR02824[quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family]; TIGR02822[adh_fam_2: zinc-binding alcohol dehydrogenase family protein]; TIGR03366[HpnZ_proposed: putative phosphonate catabolism associated alcohol dehydrogenase]; TIGR02817[adh_fam_1: zinc-binding alcohol dehydrogenase family protein]; TIGR03201[dearomat_had: 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase]; TIGR02819[fdhA_non_GSH: formaldehyde dehydrogenase, glutathione-independent]; TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR01751[crot-CoA-red: crotonyl-CoA reductase]; TIGR02818[adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase]; TIGR01202[bchC: chlorophyll synthesis pathway protein BchC]	TIGR03451[1.2e-17]; TIGR03989[5e-19]; TIGR00692[1.6e-14]; TIGR02824[1e-13]; TIGR02822[2.5e-22]; TIGR03366[1.1e-14]; TIGR02817[5.2e-07]; TIGR03201[1.7e-13]; TIGR02819[7.8e-09]; TIGR02823[3.8e-13]; TIGR01751[7.4e-09]; TIGR02818[8e-13]; TIGR01202[5.2e-09]
Eucgr.L01310.1.p	TIGR03451,TIGR03989,TIGR00692,TIGR02824,TIGR02822,TIGR03366,TIGR02817,TIGR03201,TIGR02819,TIGR02823,TIGR01751,TIGR02818,TIGR01202	TIGR03451[mycoS_dep_FDH: S-(hydroxymethyl)mycothiol dehydrogenase]; TIGR03989[Rxyl_3153: NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family]; TIGR00692[tdh: L-threonine 3-dehydrogenase]; TIGR02824[quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family]; TIGR02822[adh_fam_2: zinc-binding alcohol dehydrogenase family protein]; TIGR03366[HpnZ_proposed: putative phosphonate catabolism associated alcohol dehydrogenase]; TIGR02817[adh_fam_1: zinc-binding alcohol dehydrogenase family protein]; TIGR03201[dearomat_had: 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase]; TIGR02819[fdhA_non_GSH: formaldehyde dehydrogenase, glutathione-independent]; TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR01751[crot-CoA-red: crotonyl-CoA reductase]; TIGR02818[adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase]; TIGR01202[bchC: chlorophyll synthesis pathway protein BchC]	TIGR03451[1.2e-10]; TIGR03989[2.2e-16]; TIGR00692[1.6e-13]; TIGR02824[6.6e-19]; TIGR02822[6.5e-24]; TIGR03366[3.2e-20]; TIGR02817[2.5e-09]; TIGR03201[1.2e-08]; TIGR02819[1.9e-06]; TIGR02823[2.2e-12]; TIGR01751[2.4e-14]; TIGR02818[3e-09]; TIGR01202[6.4e-07]
